ID,Scientific Name,Class,Category,Trend,Systems,Threats,Common Name
11039677.0,Vepris lecomteana,MAGNOLIOPSIDA,VU,Decreasing,,,Vepris lecomteana
11039901.0,Raphia regalis,LILIOPSIDA,VU,Unknown,,,Raphia Palm
11046153.0,Disperis mildbraedii,LILIOPSIDA,VU,Unknown,,,Disperis mildbraedii
11051004.0,Angraecum pyriforme,LILIOPSIDA,VU,Unknown,,,Angraecum pyriforme
11051341.0,Bulbophyllum nigericum,LILIOPSIDA,VU,Unknown,,,Bulbophyllum nigericum
11037468.0,Chelonia mydas,REPTILIA,EN,Decreasing,,,Common Green Sea Turtle
11051713.0,Polystachya cooperi,LILIOPSIDA,EN,Unknown,,,Polystachya cooperi
11051410.0,Habenaria nigrescens,LILIOPSIDA,VU,Unknown,,,Habenaria nigrescens
11087086.0,Centroselachus crepidater,CHONDRICHTHYES,LC,Unknown,,,Longnose Velvet Dogfish
11064465.0,Crocodylus niloticus,REPTILIA,LR/lc,Unknown,,,Mamba
11115576.0,Coleura afra,MAMMALIA,LC,Unknown,,,African Sheath-Tailed Bat
11116810.0,Colobus polykomos,MAMMALIA,LR/nt,Unknown,,,King Colobus
11116447.0,Colobus guereza,MAMMALIA,LC,Unknown,,,Colobus Monkey
11117553.0,Colobus vellerosus,MAMMALIA,VU,Unknown,,,Geoffroy’S Black-And-White Colobus
11128753.0,Ptychadena tellinii,AMPHIBIA,LC,Stable,,,Central Grassland Frog
11131930.0,Arthroleptis poecilonotus,AMPHIBIA,LC,Stable,,,Mottled Squeaker
11132812.0,Arthroleptis sylvaticus,AMPHIBIA,LC,Decreasing,,,Forest Screeching Frog
11135522.0,Cardioglossa gracilis,AMPHIBIA,LC,Decreasing,,,Rio Benito Long-Fingered Frog
11133672.0,Arthroleptis variabilis,AMPHIBIA,LC,Decreasing,,,Buea Screeching Frog
11136447.0,Cardioglossa leucomystax,AMPHIBIA,LC,Decreasing,,,Silver Long-Fingered Frog
11136796.0,Cardioglossa melanogaster,AMPHIBIA,EN,Decreasing,,,Amiet'S Long-Fingered Frog
11137401.0,Cardioglossa pulchra,AMPHIBIA,EN,Decreasing,,,Black Long-Fingered Frog
11139558.0,Astylosternus diadematus,AMPHIBIA,VU,Decreasing,,,Victoria Night Frog
11143365.0,Leptodactylodon bicolor,AMPHIBIA,VU,Decreasing,,,Mountain Egg Frog
11142019.0,Astylosternus rheophilus,AMPHIBIA,VU,Decreasing,,,Cameroon Range Night Frog
11137668.0,Cardioglossa schioetzi,AMPHIBIA,EN,Decreasing,,,Acha Tugi Long-Fingered Frog
11144567.0,Leptodactylodon boulengeri,AMPHIBIA,VU,Decreasing,,,Boulenger'S Egg Frog
11140284.0,Astylosternus montanus,AMPHIBIA,NT,Decreasing,,,Mountain Night Frog
11145271.0,Leptodactylodon ovatus,AMPHIBIA,NT,Decreasing,,,Cameroon Egg Frog
11145495.0,Leptodactylodon polyacanthus,AMPHIBIA,VU,Decreasing,,,African Egg Frog
11146021.0,Nyctibates corrugatus,AMPHIBIA,LC,Decreasing,,,Southern Night Frog
11146142.0,Scotobleps gabonicus,AMPHIBIA,LC,Decreasing,,,Gaboon Forest Frog
11146278.0,Trichobatrachus robustus,AMPHIBIA,LC,Decreasing,,,Hairy Frog
11169909.0,Sclerophrys camerunensis,AMPHIBIA,LC,Unknown,,,Oban Toad
11178521.0,Sclerophrys djohongensis,AMPHIBIA,EN,Decreasing,,,Sclerophrys djohongensis
